accelX,accelY,accelZ,gyroX,gyroY,gyroZ,label
-0.6914,1.9608,-0.8461,129.4556,-250.0610,-653.9306,shake
-0.4116,-0.1136,0.6140,-44.8608,414.0625,475.0976,shake
0.0450,-1.0830,0.7397,-85.5102,-116.5771,-226.3794,shake
-1.6609,2.8353,-2.2350,87.6465,-185.1806,-431.0302,shake
-0.5721,-3.1504,1.4060,-262.5732,431.9458,764.6484,shake
-0.2671,0.9182,-0.4678,54.1382,-349.6704,-574.5239,shake
-1.1938,1.8821,-0.0275,147.3999,290.7715,82.4585,shake
-0.4113,-3.4628,1.7279,-65.7349,30.0903,187.1948,shake
-1.6144,3.6978,-1.4408,238.6474,-99.9145,-522.2168,shake
-0.8516,-3.9808,1.2069,-215.8203,258.8501,752.0751,shake
-0.4320,-0.9318,0.6099,30.1514,-172.6074,-428.4057,shake
-1.5272,-1.7146,1.2429,-84.0454,378.7231,730.3466,shake
-0.1277,-3.3180,1.0698,2.8076,-132.5073,-367.3095,shake
-1.0082,3.1774,-1.6718,144.0430,-199.0967,-585.1440,shake
-0.1936,-3.4749,1.1996,-123.1079,109.9853,247.1924,shake
-0.4863,0.8481,-0.0376,-2.9907,-189.3310,-555.9082,shake
-1.6323,2.8320,-1.2372,35.8887,-241.2109,-710.0219,shake
-1.6323,2.8320,-1.2372,35.8887,-241.2109,-710.0219,shake
-0.5917,-3.5634,0.6930,-133.1177,89.0503,172.6684,shake
-0.5905,2.0883,-1.4523,67.2607,-292.7856,-557.7393,shake
-0.6648,-0.2726,0.6404,-4.4556,401.9775,535.2783,shake
-0.3206,-3.4806,1.1671,-182.3730,211.1816,425.3540,shake
-1.0015,3.1250,-2.6191,176.4526,-242.7978,-522.3999,shake
-0.8071,0.3154,0.9725,-102.4780,423.7671,790.2221,shake
-0.0291,-2.0792,0.0225,12.6343,-147.3389,-66.1011,shake
-1.3052,-0.3842,1.8984,40.8936,470.6421,555.5420,shake
-0.3070,-3.4189,1.2874,-140.8081,83.1299,397.7050,shake
-0.3582,2.4529,-1.1190,216.3086,-179.1382,-451.0498,shake
-1.1143,-3.5769,1.5197,-202.4536,282.8979,494.2016,shake
-0.1967,1.7039,-0.3341,81.7871,-209.6557,-606.0791,shake
-0.7988,-2.4833,1.0533,-307.9224,400.2075,478.3325,shake
-0.5720,1.4104,-0.0150,116.0889,-224.7925,-757.5683,shake
0.1835,0.9879,-0.3777,-33.5693,217.8955,169.2505,shake
0.6285,-2.0782,1.1267,-275.8789,147.1558,174.9267,shake
1.0271,1.0220,-0.1578,6.2256,-87.2803,-180.8472,shake
0.4095,-1.0953,0.7394,37.8418,99.7925,284.9731,shake
0.3855,-0.6493,0.7220,2.6245,-5.3101,-1.7090,swipe_h
0.3523,-0.6476,0.6412,9.0332,-16.7847,7.8735,swipe_h
0.3455,-0.6281,0.6469,15.9912,-21.4233,9.9487,swipe_h
0.2189,-0.7373,0.6310,15.6250,-15.1367,11.6577,swipe_h
-1.0836,-2.1783,0.7214,-75.8057,30.3345,-125.1831,swipe_h
-1.0836,-2.1783,0.7214,-75.8057,30.3345,-125.1831,swipe_h
0.5433,-0.2634,0.9381,-54.5044,5.4321,40.1611,swipe_h
0.2616,-1.0819,1.2446,-95.0928,7.0801,-138.3057,swipe_h
0.6281,0.6541,0.8716,-160.5835,-15.0757,-239.3799,swipe_h
0.5184,1.0947,-0.4431,18.1274,-59.5093,-198.3642,swipe_h
0.9840,0.3026,0.0588,-22.0947,1.3428,1.7700,swipe_h
0.9941,0.3091,0.0687,-44.8608,-10.5591,-22.2168,swipe_h
1.4078,0.0916,-0.3104,-26.4282,24.5361,-3.7842,swipe_h
0.0844,0.6825,0.0281,-26.9775,93.8110,-66.0400,swipe_h
-0.4175,3.1669,0.7596,3.4180,92.7734,118.5303,swipe_h
-0.4175,3.1669,0.7596,3.4180,92.7734,118.5303,swipe_h
-0.2068,-0.2360,1.5398,134.5215,148.1323,264.4653,swipe_h
-0.2565,-0.4999,1.2584,22.2168,30.8838,181.5796,swipe_h
-0.0454,-0.7538,1.2030,49.4385,22.7661,127.6245,swipe_h
0.1982,-0.5697,1.0098,-9.2773,4.6387,4.2114,swipe_h
0.3564,-0.2153,0.8424,-13.6719,-29.0527,69.3970,swipe_h
0.3529,-0.4921,0.8031,10.9863,4.2114,43.5181,swipe_h
0.4270,-0.5620,0.9119,1.5259,-0.3662,-19.4702,swipe_h
0.5179,-1.2462,0.7650,-40.9546,-4.5166,-35.4614,swipe_h
0.5179,-1.2462,0.7650,-40.9546,-4.5166,-35.4614,swipe_h
-0.4846,1.3522,1.8107,-55.9692,100.8911,-147.6440,swipe_h
-0.1003,-1.9325,0.8340,-83.4961,-37.2314,-144.3481,swipe_h
0.0227,0.2849,1.2148,-74.5850,-11.8408,-366.8823,swipe_h
0.5544,1.3411,0.3822,-103.0273,-69.4580,-232.1777,swipe_h
0.7852,1.0248,0.0428,4.5166,-45.9595,-67.3218,swipe_h
